Аптека;Товар;Изготовитель;Страна;Штрихкод;Цена розничная;Цена закупочная;Цена завода с НДС;Цена реестра;Остаток;Сумма опт;Срок годности;Серия;Сертификат;Дата сертификата;Орган сертификации;Срок действия сертификата;Регистрационные номер;НГТД;Номер документа поставщика;Дата документа поставщика;Документ поставки;Поставщик;НДС;Наценка;Группа;Отдел
Аптека №210;Метотрексат-Эбеве 10мг/мл 2,0мл шприц р-р №1;Ebewe;Австрия;9088883520236;1524;1387,65;1326,86;1209,55;1;1387,65;31.07.2019;HJ7417;РОСС AT.ФМ08.Д79127;13.10.2017;ОЦКК;31.07.2019;;10013060/111017/0007915/04;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;10,276140662919;ЖНВЛС,Стоп Цена;1;
Аптека №210;Прадакса 150мг капс №30;Boehringer Ingelh Ph;Германия;9006968008165;1769;1596,31;1693,89;1634,86;1;1596,31;29.02.2020;702651;РОСС DE.ФМ08.Д69950;27.07.2017;ОЦКК;29.02.2020;;10013140/010817/0001802/3;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;10,194876881025;ЖНВЛС,Стоп Цена;1;
Аптека №210;Терафлекс капс №60;Сагмел инк;США;0061841150729;1484;1345,66;1345,66;0;1;1345,66;01.10.2019;039604;РОСС US.ФМ15.Д26630;03.02.2017;ОЦКК;01.10.2019;;10130032/070217/0000777/1;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;10,280457173432;Стоп Цена;1;
Аптека №210;Тержинан ваг таб №10;~50_Лаборатории Бушара-Рекордати/пр.Софартекс;Франция;3592751842130;489;407,23;407,23;0;3;1221,69;01.01.2020;1265;РОСС FR.ФМ08.Д60209;27.04.2017;ОЦКК;01.01.2020;;10130060/280417/0007655/2;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;20,079561918326;;1;
Аптека №210;Транексам 50мг 5мл в/в р-р д/и №10;Московский эндокринный завод ФГУП;Россия;4601026307461;1629;1473,23;1541,87;1401,7;1;1473,23;01.04.2020;30317;РОСС RU.ФМ11.Д82594;17.04.2017;ФОРМАТ КАЧЕСТВА,ООО;01.04.2020;;;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;10,102667540065;ЖНВЛС,Стоп Цена;1;
Аптека №210;Флебодиа 600мг таб №30;Иннотера шузи;Франция;3400970002146;1119;894,19;894,19;0;1;894,19;31.12.2019;38807;РОСС FR.ФВ14.Д39256;30.03.2017;Техкачество,ЗАО;31.12.2019;;10130060/300317/0005610/2;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;25,141189232713;Стоп Цена;1;
Аптека №210;Флебофа 600мг таб №30 1+1;Озон;Россия;4607027766207;1079;827,82;827,82;0;1;827,82;01.07.2020;140617;РОСС RU.РА01.Д96763;11.07.2017;Росаккредитация;01.07.2020;;;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;30,342344954217;Стоп Цена;1;
Аптека №210;Эдарби кло 40мг+12,5мг таб п/о №28;Такеда Фарма А/С /Ломанн Терапи-Системе АГ;ЯПОНИЯ;5702589308106;704;540,82;540,82;0;1;540,82;13.03.2020;483360;РОСС JP.ФМ08.Д79947;23.10.2017;ОЦКК;13.03.2020;;10013140/231017/0006989/2;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;30,172700713731;;1;
Аптека №210;Аркоксиа 0,09 п/плен/оболоч таб №28;Фросст Иберика С.А./Мерк Шарп и Доум Б.В.;Испания;8711141828553;1379;1249,905;1249,9;0;0,5;624,9525;01.01.2020;N011919;РОСС NL.ФМ15.Д34007;24.05.2017;ОЦКК;01.01.2020;;10130030/240517/0002452/3;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;10,328384957257;Делимый товар,Стоп Цена;1;
Аптека №210;Ганатон 0,05г таб п/о №70;Эббот;ЯПОНИЯ;8002660008077;1069;821,73;821,73;0;2;1643,46;28.02.2022;74601YQ;РОСС JP.ФМ15.Д36296;27.06.2017;ОЦКК;28.02.2022;;10130032/270617/0004196/001;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;30,091392549864;Стоп Цена;1;
Аптека №210;Дезринит спрей назальный 50мкг/доза 140 доз 18г;Тева;Чехия;8594737237911;399;331,85;324,7;296,16;1;331,85;28.02.2019;100001842;РОСС CZ.ФМ15.Д33848;19.05.2017;ОЦКК;28.02.2019;;10130030/220517/0002370/1;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;20,680628272251;ЖНВЛС;1;
Аптека №210;Капотен 25мг таб №40;Акрихин;Россия;4601969000580;229;181,59;188,74;171,58;5;907,95;01.04.2022;460417;РОСС RU.ФВ14.Д41874;12.05.2017;Техкачество,ЗАО;01.04.2022;;;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;25,119477794615;ЖНВЛС;1;
Аптека №210;Кардионат 100мг/мл 5мл амп №10;Московский эндокринный завод ФГУП;Россия;4602676007572;249;205,45;209,09;190,08;7;1438,15;01.06.2020;70517;РОСС RU.ФМ11.Д91422;31.07.2017;ФОРМАТ КАЧЕСТВА,ООО;01.05.2020;;;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;20,828550658096;ЖНВЛС;1;
Аптека №210;Липримар 20мг таб п/о №30;Пфайзер Фармасьютикалз ЭлЭлСи/Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ;Германия;4607131042341;1124;940,64;917,33;835,28;1;940,64;30.09.2019;S44552;РОСС DE.ФМ15.Д28119;27.02.2017;ОЦКК;30.09.2019;;10130032/280217/0001254/4;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;19,988444725453;ЖНВЛС,Стоп Цена;1;
Аптека №210;Аквалор софт 125мл фл;Аурена Лабораторис ЭйБи;Швеция;4601026308505;419;345,68;345,68;0;1;345,68;01.11.2019;16115077;РЗН 2014/1778;29.07.2014;ФС Росздравнадзора;01.01.1900;;10130130/191216/0019386/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;21,210367970377;;1;
Аптека №210;Аллергодил 0,05% 6мл глазн кап;Меда Фарма ГмбХ и Ко.КГ/Тубилюкс Фарма С.п.А.;Италия;4019338199030;474;392,24;392,24;0;1;392,24;31.03.2020;7D622A;РОСС IT.ФМ09.Д04991;17.05.2017;Институт ФармБиотехнологии, г. Москва;31.03.2020;;10130060/170517/0008784/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;20,84438099123;;1;
Аптека №210;Альфа д3-Тева 0,5мкг капс №30;Тева;израиль;7290102064809;579;465,85;456,37;430;1;465,85;01.12.2019;3A6003;РОСС IL.ФМ15.Д36226;26.06.2017;ОЦКК;01.12.2019;;10013040/200717/0000417/2;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;24,793478975393;ЖНВЛС;1;
Аптека №210;Амелотекс 1% 1,5мл р-р д/и амп №3;Сотекс ЗАО;Россия;4605964002754;304;249,81;249,81;0;3;749,43;01.05.2021;090517;РОСС RU.ФМ11.Д85793;24.05.2017;ФОРМАТ КАЧЕСТВА,ООО;01.05.2021;;;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;21,69248628958;;1;
Аптека №210;Амелотекс 10мг/мл 1,5мл амп №5;Сотекс ЗАО;Россия;4605964002679;399;332,75;332,75;0;1;332,75;01.02.2021;020217;РОСС RU.ФМ11.Д81254;31.03.2017;ФОРМАТ КАЧЕСТВА,ООО;01.02.2021;;;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;19,909842223892;;1;
Аптека №210;Арбидол 100мг капс №20;Фармстандарт Лексредства;Россия;4601669004598;509;403,17;421,19;382,9;2;806,34;01.09.2020;1210817;РОСС RU.ФМ05.Д03888;24.08.2017;ОЦС, г.Екатеринбург;01.09.2020;;;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;25,126427503027;ЖНВЛС;1;
Аптека №210;Аргосульфан крем 2% 40г;Ельфа фармзавод;Польша;5904398401027;429;356,54;356,54;0;1;356,54;01.06.2019;706031;РОСС PL.ФМ15.Д39251;11.08.2017;ОЦКК;01.06.2019;;10013042/110817/0000924/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;20,323105401918;;1;
Аптека №210;Аркоксиа 60мг таб п/о №14;Мерк;Нидерланды;4602210002780;714;548,11;548,11;0;1;548,11;01.10.2019;N008777;РОСС NL.ФМ15.Д33683;17.05.2017;ОЦКК;01.10.2019;;10130030/170517/0002284/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;30,265822553867;;1;
Аптека №210;Бравадин плен. 7,5мг таб п/о №28;КРКА-РУС, ООО;Россия;4607055137871;514;401,15;452,84;458,35;1;401,15;01.05.2020;79470517;РОСС RU.РА01.Д95218;14.06.2017;Росаккредитация;01.05.2020;;;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;24,920501722463;ЖНВЛС;1;
Аптека №210;Буденит Стери-Неб сусп д/инг 0,25мг/мл 2мл №20;Айвэкс Фармасьютикалс Юкей Лимитед;Великобритания;5023497782216;1095;920,15;893,75;815,01;1;920,15;30.06.2019;10196;РОСС GB.ФМ15.Д43057;05.10.2017;ОЦКК;30.06.2019;;10013042/061017/0002308/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;19,563636363636;Делимый товар,ЖНВЛС,Стоп Цена;1;
Аптека №210;Вазонит ретард 600мг таб №20;Г.Л. Фарма ГмбХ/Ланнахер Хайльмиттель ГмбХ;Австрия;9008732004533;404;333,57;333,57;0;1;333,57;30.09.2021;6K092A;РОСС AT.ФМ15.Д27410;14.02.2017;ОЦКК;30.09.2021;;10130032/160217/0001048/2;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;21,114009053572;;1;
Аптека №210;Валз н 160мг 12,5мг таб п/о №28;Балканфарма;Болгария;4607141997822;424;351,16;351,16;0;1;351,16;01.03.2020;125117;РОСС BG.ФМ15.Д35467;15.06.2017;ОЦКК;01.03.2020;;10130030/230617/0003064/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;20,742681398793;;1;
Аптека №210;Викс актив симптомакс плюс пор 4,36г №10;Рафтон Лабораториз Лимитед;Великобритания;5013965631290;399;347,17;347,17;0;1;347,17;31.12.2019;70408964A1;POCC GB.ФМ15.Д31333;11.04.2017;ОЦКК;31.12.2019;;10130030/110517/0002139/1;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;14,929285364519;;1;
Аптека №210;Ганатон 50мг таб п/о №10;Эббот;ЯПОНИЯ;8002660000101;739;565,58;565,58;0;1;565,58;30.09.2021;69601YQ;РОСС JP.ФМ15.Д25368;18.01.2017;ОЦКК;30.09.2021;;10130030/190117/0000181/002;604436-17;02.11.2017;Приход от поставщика №604436-17;Катрен НПК АО;10;30,662328936667;;1;
